Trial,K_NF_GMM,K_nonNF_GMM,eps_NF_GMM,eps_nonNF_GMM,eps_kannan,loss_NF_GMM,loss_nonNF_GMM,loss_kannan,loss_nw
0,3.0,3.0,0.5,1.0,1.0,103.49097586802178,110.26032520922674,149.54771252018665,198.77101156731888
1,3.0,3.0,0.05,0.05,0.1,94.24864700343143,98.62451187612054,126.9688017080708,204.81123914153162
2,3.0,1.0,0.05,0.05,0.01,100.16088375329576,103.33122036051746,100.86112785675144,197.9856310004618
3,1.0,3.0,0.5,1.0,0.01,124.74310850463063,125.07717302457363,123.82438463607741,221.5673137422946
4,3.0,3.0,0.5,0.5,0.01,142.3295418217262,151.89018913858322,142.56141587406046,254.81900833490457
5,1.0,3.0,1.0,0.01,1.0,118.43186054247063,134.34566534557092,149.87053668117505,205.4277131223091
6,3.0,3.0,0.05,0.05,0.1,83.89292987921606,88.16592388303395,115.31603892939746,196.13631649923317
7,1.0,1.0,0.01,0.01,0.05,141.14112989016158,168.7309584099853,206.43982615449767,255.68572097375684
8,1.0,3.0,0.5,0.1,0.1,136.74849902484556,157.35529083521413,152.33886943850834,239.43198808780582
9,1.0,3.0,0.5,0.01,0.01,175.24615152165472,175.33471956852418,453.00053066045655,288.9063799780632
10,3.0,1.0,0.5,0.05,1.0,100.656004674724,128.37140103817197,119.49552000101933,217.94575504145436
11,1.0,1.0,1.0,0.01,0.01,118.02668306806285,127.77369117562122,116.70275851494021,216.10692756810255
12,3.0,1.0,0.05,0.01,0.01,115.82296581576742,129.29896979060712,152.6353105028725,219.2317767512937
13,1.0,1.0,0.1,1.0,0.01,148.2252823571515,155.02082960570257,314.96690699488806,250.56713807106513
14,3.0,3.0,0.05,0.1,0.1,127.31873897038648,150.01183436580493,224.43919128691198,224.6733588167582
15,1.0,3.0,1.0,0.5,0.01,182.23159534678913,185.65634803564615,247.30330467272333,272.8522803971599
16,3.0,1.0,0.01,0.1,0.5,139.9310297587226,140.48827934132234,220.9761703292397,268.42226490728603
17,3.0,3.0,0.01,0.1,0.1,185.57376751501485,177.95850932402715,333.47969856051793,262.12953035573344
18,1.0,3.0,0.05,0.05,0.1,141.6870384758664,141.23975389310422,168.81728381587538,247.37791238054723
19,1.0,1.0,0.5,0.05,0.01,75.17549951771883,87.1916748177749,171.62688284311122,186.3001259990755
20,3.0,1.0,0.01,1.0,0.01,128.63361365600736,138.91075724191856,191.94703794313818,239.65137132431656
21,3.0,3.0,0.05,1.0,0.05,108.99251912452452,118.7030117357328,122.90416423976995,214.6327173549699
22,1.0,1.0,1.0,0.05,0.01,150.64651122029525,182.22048531304668,208.28742119275154,281.86295540231265
23,3.0,1.0,0.1,0.5,0.01,140.52328950905982,147.9372575991336,180.65284336803137,240.98173517857097
24,1.0,3.0,0.01,0.05,0.01,147.3874680040665,181.8790386273357,170.18165773628078,248.25311950708112
25,3.0,3.0,0.01,0.01,0.1,170.70574962489442,173.48488675919097,425.82716056050157,280.4318027144648
26,3.0,1.0,1.0,0.05,1.0,133.0353569349492,140.09132360962485,131.928892570691,240.7723045023875
27,1.0,1.0,0.1,1.0,1.0,130.01832272211308,127.6796864582882,276.33244937255415,228.64025598214022
28,1.0,3.0,0.1,0.5,0.1,67.11822303805965,119.05024714350611,106.3119209368932,168.99963672938145
29,3.0,1.0,1.0,1.0,0.05,121.96013582768391,138.43494436100858,142.49150739549347,227.148311004805
30,1.0,3.0,0.5,0.1,0.5,183.131944152311,189.9939726633674,208.33707511028416,281.6251998923112
31,1.0,1.0,0.5,0.5,0.01,167.21091997753203,165.21463403051197,216.67987065628182,283.6138168473481
32,1.0,1.0,0.5,0.05,0.05,103.47067406153911,137.95687731023264,186.1971443539133,205.94912908636778
33,1.0,1.0,0.1,0.01,1.0,81.62512846234299,82.73453976670702,124.70373835550174,189.7592793146491
34,1.0,1.0,0.01,0.05,0.1,110.09871122082654,114.30793173149749,118.03773208060268,214.78646019972757
35,1.0,3.0,0.01,0.1,0.05,115.06324152351182,123.55746299693391,123.8276536918834,197.79297495211884
36,1.0,1.0,0.5,0.5,0.01,94.3974139699455,93.42347265590199,106.24461448787663,186.83926681188106
37,3.0,1.0,0.05,0.05,0.05,166.11636916780674,184.29985376181983,452.27031137911274,275.4296697916357
38,3.0,1.0,1.0,1.0,0.01,125.10982487009122,133.33284471038982,124.70007302113292,202.53548819715894
39,1.0,3.0,0.1,0.05,0.01,102.85109340807671,194.15256147673495,106.59712684645396,208.9636896323178
40,3.0,1.0,0.05,0.05,0.1,107.17494267233232,130.57837187090647,106.13244533126247,227.4241403589969
41,3.0,1.0,0.01,0.5,0.01,167.4994144224326,171.54774901123136,218.73768714314096,272.08373031677286
42,3.0,3.0,0.05,0.1,0.01,101.02652151368163,110.2688935139695,134.87706228206608,203.57744840138116
43,3.0,1.0,0.1,0.5,0.01,140.1214816051552,157.46768001934055,169.4319561593109,231.38105406011329
44,1.0,1.0,0.05,0.1,0.01,155.19760418450338,179.28987703043074,211.76784288318171,249.22864437619225
45,1.0,3.0,0.5,1.0,0.05,96.55609373290717,124.03504663519479,128.36698420430272,186.67153557976738
46,3.0,3.0,0.5,0.01,0.05,162.86463679193741,156.81669410704265,248.64430531871895,250.583914235953
47,3.0,3.0,1.0,0.1,0.05,93.05119322308981,98.52509655068091,97.36613303957786,208.25859808261936
48,3.0,3.0,0.5,1.0,0.01,113.02304037792324,128.66356551623403,133.62655916573863,211.07188841566426
49,1.0,1.0,0.05,0.01,0.05,144.81719396495998,161.87795395150764,142.93447684884856,251.57475684472627
50,1.0,3.0,0.05,0.1,0.01,538.766908914289,167.03315574659902,508.17330317409784,221.16777209909736
51,3.0,1.0,0.01,0.01,0.05,145.17169572959602,164.6508873536636,294.51131334285236,242.05179305680528
52,3.0,1.0,0.01,0.5,0.5,141.9936395413857,140.35806564642718,182.5548142184981,235.14312003808035
53,1.0,1.0,1.0,0.5,0.01,161.87833350183317,201.5824573457723,254.51337037134152,276.3241444317278
