Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1986-07-09,COST,10.6875,11.0625,10.5625,11.0,7.338841915130615,1116800
1986-07-09,COST,10.6875,11.0625,10.5625,11.0,7.338841915130615,1116800
1986-07-10,COST,11.0625,11.125,10.6875,10.9375,7.297143459320068,595600
1986-07-10,COST,11.0625,11.125,10.6875,10.9375,7.297143459320068,595600
1986-07-11,COST,10.875,10.9375,10.5625,10.5625,7.046953678131104,800400
1986-07-11,COST,10.875,10.9375,10.5625,10.5625,7.046953678131104,800400
1986-07-14,COST,10.625,10.625,10.125,10.25,6.838462829589844,738000
1986-07-14,COST,10.625,10.625,10.125,10.25,6.838462829589844,738000
1986-07-15,COST,10.1875,10.1875,9.3125,9.9375,6.629973888397217,2059200
1986-07-15,COST,10.1875,10.1875,9.3125,9.9375,6.629973888397217,2059200
1986-07-16,COST,9.9375,10.5,9.9375,10.125,6.75506591796875,1160400
1986-07-16,COST,9.9375,10.5,9.9375,10.125,6.75506591796875,1160400
1986-07-17,COST,10.125,10.25,10.0,10.1875,6.796765804290772,1046000
1986-07-17,COST,10.125,10.25,10.0,10.1875,6.796765804290772,1046000
1986-07-18,COST,10.1875,10.34375,10.0,10.25,6.838462829589844,1420000
1986-07-18,COST,10.1875,10.34375,10.0,10.25,6.838462829589844,1420000
1986-07-21,COST,10.25,10.3125,10.1875,10.25,6.838462829589844,322800
1986-07-21,COST,10.25,10.3125,10.1875,10.25,6.838462829589844,322800
1986-07-22,COST,10.25,10.28125,10.1875,10.1875,6.796765804290772,390800
1986-07-22,COST,10.25,10.28125,10.1875,10.1875,6.796765804290772,390800
1986-07-23,COST,10.25,10.25,10.0,10.0625,6.713372707366943,1004000
1986-07-23,COST,10.25,10.25,10.0,10.0625,6.713372707366943,1004000
1986-07-24,COST,10.0625,10.125,9.8125,9.9375,6.629973888397217,1071600
1986-07-24,COST,10.0625,10.125,9.8125,9.9375,6.629973888397217,1071600
1986-07-25,COST,9.9375,10.125,9.875,10.0625,6.713372707366943,688400
1986-07-25,COST,9.9375,10.125,9.875,10.0625,6.713372707366943,688400
1986-07-28,COST,10.0625,10.25,9.96875,10.125,6.75506591796875,414800
1986-07-28,COST,10.0625,10.25,9.96875,10.125,6.75506591796875,414800
1986-07-29,COST,10.0,10.1875,10.0,10.1875,6.796765804290772,278400
1986-07-29,COST,10.0,10.1875,10.0,10.1875,6.796765804290772,278400
1986-07-30,COST,10.0625,10.125,9.875,10.125,6.75506591796875,459200
1986-07-30,COST,10.0625,10.125,9.875,10.125,6.75506591796875,459200
1986-07-31,COST,10.125,10.25,10.0,10.0625,6.713372707366943,1213600
1986-07-31,COST,10.125,10.25,10.0,10.0625,6.713372707366943,1213600
1986-08-01,COST,10.0,10.125,9.75,9.75,6.504879951477051,1118000
1986-08-01,COST,10.0,10.125,9.75,9.75,6.504879951477051,1118000
1986-08-04,COST,9.8125,9.8125,9.53125,9.75,6.504879951477051,892400
1986-08-04,COST,9.8125,9.8125,9.53125,9.75,6.504879951477051,892400
1986-08-05,COST,9.75,9.75,9.5,9.5625,6.379785060882568,868800
1986-08-05,COST,9.75,9.75,9.5,9.5625,6.379785060882568,868800
1986-08-06,COST,9.5625,9.625,9.125,9.125,6.087901592254639,550400
1986-08-06,COST,9.5625,9.625,9.125,9.125,6.087901592254639,550400
1986-08-07,COST,9.0,9.0625,8.125,8.375,5.587528228759766,7560000
1986-08-07,COST,9.0,9.0625,8.125,8.375,5.587528228759766,7560000
1986-08-08,COST,8.4375,8.9375,8.375,8.875,5.921109676361084,2802000
1986-08-08,COST,8.4375,8.9375,8.375,8.875,5.921109676361084,2802000
1986-08-11,COST,9.0,9.125,8.875,9.125,6.087901592254639,1428000
1986-08-11,COST,9.0,9.125,8.875,9.125,6.087901592254639,1428000
1986-08-12,COST,9.125,9.4375,9.125,9.375,6.254692554473877,1155200
1986-08-12,COST,9.125,9.4375,9.125,9.375,6.254692554473877,1155200
1986-08-13,COST,9.4375,10.09375,9.375,9.6875,6.46318244934082,865600
1986-08-13,COST,9.4375,10.09375,9.375,9.6875,6.46318244934082,865600
1986-08-14,COST,9.75,9.8125,9.375,9.5,6.338090419769287,762000
1986-08-14,COST,9.75,9.8125,9.375,9.5,6.338090419769287,762000
1986-08-15,COST,9.5,9.5,9.1875,9.375,6.254692554473877,654400
1986-08-15,COST,9.5,9.5,9.1875,9.375,6.254692554473877,654400
1986-08-18,COST,9.4375,9.875,9.25,9.6875,6.46318244934082,606800
1986-08-18,COST,9.4375,9.875,9.25,9.6875,6.46318244934082,606800
1986-08-19,COST,9.75,9.75,9.5,9.5625,6.379785060882568,2744000
1986-08-19,COST,9.75,9.75,9.5,9.5625,6.379785060882568,2744000
1986-08-20,COST,9.5625,9.5625,9.375,9.5,6.338090419769287,500000
1986-08-20,COST,9.5625,9.5625,9.375,9.5,6.338090419769287,500000
1986-08-21,COST,9.5,9.5625,9.4375,9.4375,6.296388626098633,353200
1986-08-21,COST,9.5,9.5625,9.4375,9.4375,6.296388626098633,353200
1986-08-22,COST,9.5,9.5625,9.375,9.375,6.254692554473877,286000
1986-08-22,COST,9.5,9.5625,9.375,9.375,6.254692554473877,286000
1986-08-25,COST,9.5,9.5,9.125,9.25,6.171298503875732,766400
1986-08-25,COST,9.5,9.5,9.125,9.25,6.171298503875732,766400
1986-08-26,COST,9.1875,9.375,9.1875,9.375,6.254692554473877,408800
1986-08-26,COST,9.1875,9.375,9.1875,9.375,6.254692554473877,408800
1986-08-27,COST,9.375,9.375,9.1875,9.3125,6.212994575500488,686400
1986-08-27,COST,9.375,9.375,9.1875,9.3125,6.212994575500488,686400
1986-08-28,COST,9.3125,9.3125,9.125,9.1875,6.129599571228027,286000
1986-08-28,COST,9.3125,9.3125,9.125,9.1875,6.129599571228027,286000
1986-08-29,COST,9.125,9.25,9.0625,9.125,6.087901592254639,1128800
1986-08-29,COST,9.125,9.25,9.0625,9.125,6.087901592254639,1128800
1986-09-02,COST,9.1875,9.1875,8.6875,8.75,5.837710857391357,916800
