Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1992-06-17,LIN,8.5,8.75,7.75,7.9375,4.530449390411377,902000
1992-06-17,LIN,8.5,8.75,7.75,7.9375,4.530449390411377,902000
1992-06-18,LIN,7.9375,7.9375,7.5,7.8125,4.459102153778076,421400
1992-06-18,LIN,7.9375,7.9375,7.5,7.8125,4.459102153778076,421400
1992-06-19,LIN,7.8125,7.9375,7.75,7.875,4.494776248931885,453400
1992-06-19,LIN,7.8125,7.9375,7.75,7.875,4.494776248931885,453400
1992-06-22,LIN,7.875,7.875,7.5625,7.625,4.352084636688232,597200
1992-06-22,LIN,7.875,7.875,7.5625,7.625,4.352084636688232,597200
1992-06-23,LIN,7.625,7.75,7.625,7.6875,4.387757778167725,853800
1992-06-23,LIN,7.625,7.75,7.625,7.6875,4.387757778167725,853800
1992-06-24,LIN,7.6875,7.75,7.5,7.5625,4.316412448883057,357600
1992-06-24,LIN,7.6875,7.75,7.5,7.5625,4.316412448883057,357600
1992-06-25,LIN,7.6875,7.8125,7.6875,7.6875,4.387757778167725,785000
1992-06-25,LIN,7.6875,7.8125,7.6875,7.6875,4.387757778167725,785000
1992-06-26,LIN,7.6875,7.75,7.625,7.75,4.423428535461426,435000
1992-06-26,LIN,7.6875,7.75,7.625,7.75,4.423428535461426,435000
1992-06-29,LIN,7.6875,7.8125,7.625,7.8125,4.459102153778076,386600
1992-06-29,LIN,7.6875,7.8125,7.625,7.8125,4.459102153778076,386600
1992-06-30,LIN,7.8125,8.0625,7.8125,8.0625,4.601792812347412,884400
1992-06-30,LIN,7.8125,8.0625,7.8125,8.0625,4.601792812347412,884400
1992-07-01,LIN,7.875,7.9375,7.8125,7.875,4.494776248931885,552600
1992-07-01,LIN,7.875,7.9375,7.8125,7.875,4.494776248931885,552600
1992-07-02,LIN,7.9375,8.0625,7.6875,8.0625,4.601792812347412,1788200
1992-07-02,LIN,7.9375,8.0625,7.6875,8.0625,4.601792812347412,1788200
1992-07-06,LIN,7.9375,7.9375,7.6875,7.75,4.423428535461426,580400
1992-07-06,LIN,7.9375,7.9375,7.6875,7.75,4.423428535461426,580400
1992-07-07,LIN,7.8125,7.8125,7.1875,7.3125,4.173718929290772,1147000
1992-07-07,LIN,7.8125,7.8125,7.1875,7.3125,4.173718929290772,1147000
1992-07-08,LIN,7.375,7.375,6.8125,6.9375,3.959684610366821,1192800
1992-07-08,LIN,7.375,7.375,6.8125,6.9375,3.959684610366821,1192800
1992-07-09,LIN,6.9375,7.3125,6.9375,7.3125,4.173718929290772,2136600
1992-07-09,LIN,6.9375,7.3125,6.9375,7.3125,4.173718929290772,2136600
