Ticker,start_date,end_date
A,2000-06-05,
AAL,2015-03-23,
AAP,2015-07-09,
ABBV,2013-01-02,
ABC,2001-08-30,
ABKFQ-20,2000-12-11,2008-06-11
ABMD,2018-05-31,
ACAS-20,2007-07-09,2009-03-04
ACN,2011-07-06,
ACS-20,2004-04-02,2010-02-08
ADS,2013-12-23,
ADT-20,2012-10-02,2016-05-02
AET-20,2016-01-04,2018-11-29
AIV,2003-03-14,
AIZ,2007-04-10,
AJG,2016-05-31,
AKAM,2007-07-12,
AKS,2008-07-01,2011-12-19
ALB,2016-07-01,
ALGN,2017-06-19,
ALK,2016-05-13,
ALLE,2013-12-02,
ALTR-20,2000-04-18,2015-12-28
ALXN,2012-05-25,
AMCC-20,2001-01-02,2006-05-18
AMD,2017-03-20,
AME,2013-09-23,
AMG,2014-07-01,
AMP,2005-10-03,
AMT,2007-11-19,
AMZN,2005-11-21,
AN,2003-02-24,2017-08-08
ANDV,2007-09-27,2018-09-19
ANDV-20,2016-01-04,2018-10-01
ANET,2018-08-28,
ANF,2007-03-29,2013-12-23
ANRZQ-20,2011-06-02,2012-10-02
ANSS,2017-06-19,
ANTM,2002-07-25,
AOS,2017-07-26,
APCC-20,2000-06-01,2007-02-15
APH,2008-09-30,
APOL-20,2002-05-15,2013-07-01
APTV,2012-12-24,
ARE,2017-03-20,
ARG-20,2009-09-09,2016-05-23
ASN-20,2004-12-20,2007-10-08
ATGE,2009-06-09,2012-10-01
ATVI,2015-08-31,
AV-20,2000-10-02,2007-10-26
AVB,2007-01-10,
AVGO,2014-05-08,
AWE-20,2001-07-09,2004-10-27
AWK,2016-03-04,
AYE-20,2000-12-11,2011-02-28
AYI,2016-05-03,2018-06-18
BGEN-20,2000-01-31,2003-11-13
BHF,2017-08-07,
BIIB,2003-11-13,
BJS-20,2002-05-15,2010-04-29
BKNG,2009-11-06,
BLK,2011-04-04,
BR,2018-06-18,
BRCM-20,2000-07-03,2016-02-01
BRK-B,2010-02-16,
BRL-20,2006-02-27,2008-12-23
BTUUQ-20,2006-11-20,2014-09-22
BVSN,2000-11-06,2001-09-04
BWA,2011-12-19,
BXLT-20,2015-07-01,2016-06-03
BXP,2006-04-03,
CA-20,2016-01-04,2018-11-06
CAM-20,2008-01-29,2016-04-04
CB,2002-01-30,2008-07-18
CB,2010-07-15,
CBE-20,2011-11-23,2012-12-03
CBH-20,2006-06-06,2008-03-31
CBOE,2017-03-01,
CBRE,2006-11-10,
CBSS-20,2004-12-20,2007-09-07
CCEP,2016-01-04,2016-05-31
CCI,2012-03-13,
CDNS,2017-09-18,
CE,2018-12-24,
CE-20,2001-04-02,2004-02-27
CELG,2006-11-06,
CEPH-20,2008-11-17,2011-10-14
CERN,2010-04-30,
CF,2008-08-27,
CF-20,2000-06-19,2004-09-01
CFG,2016-02-01,
CFN-20,2009-09-01,2015-03-17
CHD,2015-12-29,
CHIR-20,2000-11-24,2006-04-20
CHK,2006-03-03,2018-03-19
CHRW,2007-03-02,
CHTR,2016-09-08,
CIEN,2001-08-30,2009-12-21
CIT-A,2000-07-17,2001-06-04
CITGQ-20,2004-10-27,2009-07-27
CLF,2009-12-21,2014-04-02
CMCSK-20,2015-09-21,2015-12-14
CME,2006-08-11,
CMG,2011-04-28,
CMX-20,2004-03-25,2007-03-23
CNC,2016-03-30,
CNX,2006-06-28,2016-03-04
CNXT-20,2000-01-31,2002-06-26
COG,2008-06-23,
COL,2001-07-02,2018-09-19
COL-20,2016-01-04,2018-11-27
COO,2016-09-23,
COTY,2016-10-03,
COV-20,2007-07-02,2009-06-05
COV-20,2011-03-01,2015-01-27
CPGX-20,2015-07-02,2016-07-01
CPNLQ-20,2000-12-01,2005-12-02
CPRI,2016-01-04,
CPRT,2018-07-02,
CRM,2008-09-15,
CSRA-20,2015-11-30,2018-04-04
CTAS,2001-03-01,
CTSH,2006-11-17,
CVC-20,2010-12-20,2016-06-21
CVG,2000-06-13,2009-12-21
CVH-20,2005-08-30,2013-05-07
CXO,2016-02-22,
DAL,2013-09-11,
DDR,2007-03-23,2009-03-30
DF,2006-04-03,2013-05-24
DFS,2007-07-02,
DG,2012-12-03,
DGX,2002-12-12,
DHI,2005-07-05,
DISCA,2010-03-01,
DISCK,2014-08-07,
DISH,2017-03-13,
DLR,2016-05-18,
DLTR,2011-12-19,
DNB,2008-12-02,2017-04-05
DNR,2009-04-02,2015-03-23
DO,2009-02-26,2016-10-03
DRE,2017-07-26,
DTV-20,2006-12-04,2015-07-27
DVA,2008-07-31,
DVN,2000-08-30,
DWDP,2017-09-01,
DXC,2017-04-04,
DYN-20,2000-10-03,2009-12-21
EA,2002-07-22,
EBAY,2002-07-22,
EL,2006-01-05,
ENDP,2015-01-27,2017-03-02
EOG,2000-11-02,
EOP-20,2001-10-10,2007-02-12
EQ-20,2006-05-18,2009-07-01
EQIX,2015-03-23,
EQR,2001-12-03,
EQT,2008-12-19,2018-11-13
ES,2009-03-17,
ESRX,2003-09-26,2018-09-19
ESRX-20,2016-01-04,2018-12-21
ESS,2014-04-02,
ESV,2007-01-04,2009-12-23
ESV,2012-07-31,2016-03-30
ETFC,2004-04-01,
EVHC,2016-12-02,2018-09-19
EVHC-20,2016-12-02,2018-10-11
EVRG,2018-06-05,
EW,2011-04-01,
EXPD,2007-10-10,
EXPE,2007-10-02,
EXR,2016-01-19,
FANG,2018-12-03,
FAST,2008-09-15,
FB,2013-12-23,
FBHS,2016-06-24,
FCPT,2015-11-10,2015-11-17
FDO-20,2001-08-06,2015-07-07
FFIV,2010-12-20,
FHN,2002-05-06,2013-06-24
FII,2003-04-16,2013-01-02
FIS,2006-11-10,
FISV,2001-04-02,
FL,2016-04-04,
FLIR,2009-01-02,
FLR,2000-12-22,
FLS,2008-10-02,
FLT,2018-06-20,
FMC,2009-08-19,
FOSL,2012-04-04,2016-01-05
FOX,2015-09-21,
FOXA,2004-12-20,
FRC,2019-01-02,
FRT,2016-02-01,
FRX-20,2000-11-22,2014-07-01
FSH-20,2004-08-03,2006-11-10
FSL-20,2004-12-03,2006-12-04
FSLR,2009-10-16,2017-03-20
FTI,2017-01-17,
FTI-20,2009-06-05,2017-01-17
FTNT,2018-10-11,
FTR,2001-02-27,2017-03-20
FTV,2016-07-05,
GAS-20,2011-12-13,2016-07-01
GENZ-20,2001-12-14,2011-04-04
GGP,2007-07-02,2008-11-13
GGP,2013-12-10,2018-01-02
GGP-20,2007-07-02,2008-11-13
GGP-20,2013-12-10,2018-08-28
GHC,2007-12-31,2014-09-22
GILD,2004-07-01,
GM,2013-06-07,
GMCR-20,2014-03-24,2016-03-03
GME,2007-12-14,2016-04-25
GNW,2005-12-02,2015-11-18
GOOG,2014-04-03,
GOOGL,2006-04-03,
GPN,2016-04-25,
GRMN,2012-12-12,
GS,2002-07-22,
H-20,2006-08-01,2007-04-10
HAR-20,2006-02-01,2017-03-13
HBI,2015-03-23,
HCA,2015-01-27,
HCBK-20,2007-02-15,2015-11-02
HCP,2008-03-31,
HFC,2018-06-18,
