permno,ticker,start,ending,namedt,nameendt
10104,ORCL,1989-08-03,2024-12-31,1986-03-12,1995-05-31
10104,ORCL,1989-08-03,2024-12-31,1995-06-01,2004-06-09
10104,ORCL,1989-08-03,2024-12-31,2004-06-10,2013-07-14
10104,ORCL,1989-08-03,2024-12-31,2013-07-15,2023-06-26
10104,ORCL,1989-08-03,2024-12-31,2023-06-27,2024-12-31
10107,MSFT,1994-06-07,2024-12-31,1986-03-13,2004-06-09
10107,MSFT,1994-06-07,2024-12-31,2004-06-10,2024-03-11
10107,MSFT,1994-06-07,2024-12-31,2024-03-12,2024-12-31
10138,TROW,1999-10-13,2024-12-31,1986-04-02,2000-12-28
10138,TROW,1999-10-13,2024-12-31,2000-12-29,2004-06-09
10138,TROW,1999-10-13,2024-12-31,2004-06-10,2006-06-29
10138,TROW,1999-10-13,2024-12-31,2006-06-30,2015-01-28
10138,TROW,1999-10-13,2024-12-31,2015-01-29,2022-08-01
10138,TROW,1999-10-13,2024-12-31,2022-08-02,2023-02-15
10138,TROW,1999-10-13,2024-12-31,2023-02-16,2024-12-31
10145,HON,1925-12-31,2024-12-31,1999-12-02,2001-02-28
10145,HON,1925-12-31,2024-12-31,2001-03-01,2002-01-01
10145,HON,1925-12-31,2024-12-31,2002-01-02,2004-06-09
10145,HON,1925-12-31,2024-12-31,2004-06-10,2014-01-26
10145,HON,1925-12-31,2024-12-31,2014-01-27,2017-01-29
10145,HON,1925-12-31,2024-12-31,2017-01-30,2021-04-05
10145,HON,1925-12-31,2024-12-31,2021-04-06,2021-05-10
10145,HON,1925-12-31,2024-12-31,2021-05-11,2021-09-13
10145,HON,1925-12-31,2024-12-31,2021-09-14,2022-10-12
10145,HON,1925-12-31,2024-12-31,2022-10-13,2024-12-31
10516,ADM,1981-07-30,2024-12-31,1968-01-02,2001-07-01
10516,ADM,1981-07-30,2024-12-31,2001-07-02,2002-01-01
10516,ADM,1981-07-30,2024-12-31,2002-01-02,2004-06-09
10516,ADM,1981-07-30,2024-12-31,2004-06-10,2012-05-06
