dataset,quarter,method,method_label,N,T,VAL_SIZE,IN_SAMPLE_CV_TRAIN_N,internal_CV_mean,NUM_ITER,sddp_iterations_run,selected_gmm_K,selected_gmm_reg_covar,selected_nw_kernel,selected_nw_bandwidth,best_eps,VAL_mean,OOS_mean,p10,p90,neural_variant,NUM_NEURAL_CUTS,NEURAL_REFINEMENT_ITER,nn_train_device,nn_teacher_reused,runtime_total_seconds,time_transition_seconds,time_eps_tuning_seconds,time_sddp_solve_seconds,time_VAL_eval_seconds,time_validation_eval_seconds,time_test_eval_seconds,time_nn_teacher_sddp_seconds,time_nn_training_seconds,time_nn_prediction_seconds,time_nn_final_forward_seconds,time_nn_total_with_teacher_seconds,time_nn_inference_excluding_teacher_seconds
NC,1,GMM,GMM-DRO,39,7,9,30,-13.217141238098746,100,100,"1,1,1,1,1,1,1","80822.3,62002.9,115651,100150,97354.9,108276,91257.8",,,0.001,-15.26008368772734,-11.560151302887592,-18.010212941335737,-5.271493330002085,,,,,,1132.885672904551,97.16423080675304,670.0125933755189,981.9615993350744,17.211397113278508,17.211397113278508,35.2801330704242,,,,,,
NC,1,IND,IND,39,7,9,,,100,100,,,,,0,-14.22278759642147,-10.385722547893089,-18.08153295242465,-2.958446021787541,,,,,,535.4854548275471,5.169957876205444e-05,0.0,501.1971063259989,4.548408001661301,4.548408001661301,29.738702980801463,,,,,,
NC,1,NW,NW-DRO,39,7,9,30,-13.809281309148712,100,100,,,exp_mahalanobis_product,1.0,0.05,-14.755165417184994,-10.162853228007727,-18.013125189022844,-2.7838662253349753,,,,,,1480.203445482999,0.6995447818189859,1153.844591602683,1402.6938835475594,36.33747995086014,36.33747995086014,36.94584194011986,,,,,,
NC,1,NN,N-SDDP,39,7,9,,,100,0,,,,,0,-14.191697578879129,-9.251191065164571,-18.073377567013537,-0.9673852697139186,fast,16,0,cuda,True,24.01645072363317,5.225837230682373e-05,0.0,6.140324171632528,2.476590247824788,2.476590247824788,14.595562718808651,0.0,0.7025450319051743,0.0011163968592882156,6.140324171632528,23.91613856703043,20.737003287300467
NC,2,GMM,GMM-DRO,39,7,9,30,-6.281798360006909,100,100,"1,1,1,1,1,1,1","32546.5,35850.7,39732.3,51729.6,27478.3,31598,49563.3",,,0.001,-9.841661309156427,-6.276812935281684,-11.374522071536141,-1.4148980165713054,,,,,,1115.5126804877073,102.82135508209467,657.4818822871894,962.2677031978965,14.545030122622848,14.545030122622848,34.61071393825114,,,,,,
NC,2,IND,IND,39,7,9,,,100,100,,,,,0,-9.322086737244547,-5.671322851038254,-10.816910380878216,-0.8912804461312637,,,,,,492.58344657346606,5.247071385383606e-05,0.0,457.8703977558762,4.571126569062471,4.571126569062471,30.140495970845222,,,,,,
NC,2,NW,NW-DRO,39,7,9,30,-6.32670489725591,100,100,,,exp_mahalanobis_product,1.0,0.001,-9.309879064647113,-6.263430587694391,-10.62931369687249,-1.7600692916347171,,,,,,1456.8241027351469,0.7038735896348953,1130.220697870478,1383.6986551955342,34.14177270792425,34.14177270792425,34.91012795269489,,,,,,
NC,2,NN,N-SDDP,39,7,9,,,100,0,,,,,0,-9.336235602529372,-5.550971676876394,-10.817933854434997,-0.5126158153300212,fast,16,0,cuda,True,25.58954793959856,5.295872688293457e-05,0.0,7.3081024792045355,2.5703830998390913,2.5703830998390913,15.518094513565302,0.0,0.17881056852638721,0.0010438188910484314,7.3081024792045355,25.576434480026364,22.827240811660886
NC,3,GMM,GMM-DRO,39,7,9,30,-7.576189546728404,100,100,"1,1,1,1,1,1,1","67289.3,37580,70771.9,59262.4,61084.9,29670.8,45254",,,0.05,-4.509992036504157,-7.841898761555675,-15.234013626311878,-1.5605722977926386,,,,,,1033.3890769015998,100.79053791426122,632.7388489991426,886.6635301131755,13.862404130399227,13.862404130399227,30.62945019826293,,,,,,
NC,3,IND,IND,39,7,9,,,100,100,,,,,0,-3.4064015084270376,-6.903987443616428,-14.171987486762477,-0.962433187339003,,,,,,448.646135751158,5.1470473408699036e-05,0.0,420.5925066135824,2.9639457315206528,2.9639457315206528,25.088152453303337,,,,,,
