dim_s,N,num_mc,method,avg_total_time_sec,p10_total_time_sec,p90_total_time_sec,std_total_time_sec,avg_fit_time_sec,p10_fit_time_sec,p90_fit_time_sec,avg_sampling_decision_time_sec,p10_sampling_decision_time_sec,p90_sampling_decision_time_sec,n_success
1,50,100.0,NF-GMM,0.7570292022265493,0.6789191085845232,0.929735684208572,0.1649885954416919,0.22494783269241453,0.15021184384822844,0.39596491698175673,0.5320813695341349,0.5214251486584545,0.5582822635769844,100
1,50,100.0,nonNF-GMM,0.5216494023054838,0.38329124022275207,0.5619626078754664,0.06347986300414937,0.012162019368261098,0.009315932355821132,0.015653352066874508,0.5094873829372227,0.3698917666450143,0.5511382199823857,100
1,50,,LDR,0.004619734659790993,0.0043991694226861,0.004685966111719608,0.0010441598527198735,0.004619734659790993,0.0043991694226861,0.004685966111719608,,,,100
1,50,,NN-DR,0.3654497900418937,0.3312995288521051,0.3949328357353806,0.07191436120102304,0.3654497900418937,0.3312995288521051,0.3949328357353806,,,,100
1,50,,RNW,0.12246934060007333,0.07637625765055418,0.22290148120373487,0.06795711861254758,0.12246934060007333,0.07637625765055418,0.22290148120373487,,,,100
1,50,,ResDRO,0.15005163164809346,0.10557222478091717,0.2654901580885053,0.06994857161113724,0.15005163164809346,0.10557222478091717,0.2654901580885053,,,,100
1,100,100.0,NF-GMM,0.9947859783098102,0.6724751848727465,1.5186249764636162,0.3185462702952473,0.5043270906805992,0.2514840645715594,0.998491358011961,0.49045888762921097,0.37019780110567807,0.554069503583014,100
1,100,100.0,nonNF-GMM,0.5471296825259924,0.5406464451923967,0.5653301011770964,0.03156250322296667,0.013965149726718664,0.010196741297841072,0.017610947974026212,0.5331645327992738,0.5291819060221314,0.5513677997514606,100
1,100,,LDR,0.004954639412462711,0.00483148954808712,0.005098976939916611,0.0001581128499950113,0.004954639412462711,0.00483148954808712,0.005098976939916611,,,,100
1,100,,NN-DR,0.5421556097455322,0.4514759426936507,0.6663829592987895,0.07616034459390268,0.5421556097455322,0.4514759426936507,0.6663829592987895,,,,100
1,100,,RNW,0.2853076318465173,0.1528848385438323,0.3069129906594753,0.048115977746751075,0.2853076318465173,0.1528848385438323,0.3069129906594753,,,,100
1,100,,ResDRO,0.2791957363113761,0.2130131833255291,0.40026792883872986,0.08765907172842666,0.2791957363113761,0.2130131833255291,0.40026792883872986,,,,100
1,200,100.0,NF-GMM,1.8235270787216722,0.9072277843952179,2.8029122253879915,0.7500055466605653,1.3310438174381851,0.35772503074258566,2.340816478058696,0.4924832612834871,0.3689064051955938,0.5713779255747795,100
1,200,100.0,nonNF-GMM,0.5760048460774123,0.5638347493484617,0.6059378003701568,0.03772200649835966,0.015532292164862157,0.011092696338891983,0.021536019071936613,0.5604725539125502,0.5492562526836992,0.5876040555536747,100
1,200,,LDR,0.005801784731447697,0.005636529251933098,0.0060256622731685635,0.00018273930796579513,0.005801784731447697,0.005636529251933098,0.0060256622731685635,,,,100
1,200,,NN-DR,0.6378207683563233,0.46090398356318474,0.8063052391633393,0.14749433777004717,0.6378207683563233,0.46090398356318474,0.8063052391633393,,,,100
1,200,,RNW,0.41140059780329463,0.3005657525733113,0.4683195626363158,0.07585749834188375,0.41140059780329463,0.3005657525733113,0.4683195626363158,,,,100
1,200,,ResDRO,0.7182311701960862,0.630055409297347,0.8522488972172141,0.09981962458265188,0.7182311701960862,0.630055409297347,0.8522488972172141,,,,100
1,400,100.0,NF-GMM,3.1178682109154763,1.8228378096595406,4.631186347641051,1.1781049275932929,2.508665864299983,1.216562732309103,4.015241018682718,0.6092023466154933,0.5842648448422552,0.6322276683524252,100
