dim_s,N,NF-GMM,nonNF-GMM,ResDRO,RNW,LDR,NN-DR
1,50,"0.757 (0.679, 0.930)","0.522 (0.383, 0.562)","0.150 (0.106, 0.265)","0.122 (0.076, 0.223)","0.005 (0.004, 0.005)","0.365 (0.331, 0.395)"
1,100,"0.995 (0.672, 1.519)","0.547 (0.541, 0.565)","0.279 (0.213, 0.400)","0.285 (0.153, 0.307)","0.005 (0.005, 0.005)","0.542 (0.451, 0.666)"
1,200,"1.824 (0.907, 2.803)","0.576 (0.564, 0.606)","0.718 (0.630, 0.852)","0.411 (0.301, 0.468)","0.006 (0.006, 0.006)","0.638 (0.461, 0.806)"
1,400,"3.118 (1.823, 4.631)","0.454 (0.386, 0.640)","1.487 (1.418, 1.519)","0.929 (0.803, 0.982)","0.007 (0.007, 0.008)","0.953 (0.568, 1.394)"
5,50,"0.722 (0.685, 0.804)","0.533 (0.391, 0.571)","0.170 (0.106, 0.267)","0.099 (0.076, 0.221)","0.005 (0.005, 0.005)","0.358 (0.336, 0.405)"
5,100,"0.890 (0.719, 1.136)","0.558 (0.553, 0.573)","0.277 (0.215, 0.403)","0.286 (0.152, 0.308)","0.005 (0.005, 0.006)","0.529 (0.382, 0.649)"
5,200,"1.152 (0.931, 1.384)","0.581 (0.574, 0.610)","0.734 (0.642, 0.873)","0.411 (0.300, 0.471)","0.007 (0.007, 0.007)","0.599 (0.398, 0.820)"
5,400,"1.830 (1.447, 2.239)","0.601 (0.402, 0.666)","1.522 (1.436, 1.786)","0.850 (0.800, 0.990)","0.010 (0.009, 0.010)","0.822 (0.468, 1.399)"
20,50,"0.701 (0.686, 0.731)","0.534 (0.389, 0.573)","0.172 (0.106, 0.271)","0.101 (0.076, 0.226)","0.005 (0.005, 0.006)","0.348 (0.298, 0.405)"
20,100,"0.874 (0.797, 1.004)","0.576 (0.561, 0.591)","0.293 (0.217, 0.410)","0.246 (0.149, 0.310)","0.007 (0.007, 0.007)","0.482 (0.266, 0.652)"
20,200,"1.069 (0.907, 1.210)","0.584 (0.579, 0.623)","0.725 (0.645, 0.875)","0.416 (0.301, 0.478)","0.010 (0.009, 0.010)","0.619 (0.362, 0.933)"
20,400,"1.634 (1.534, 1.738)","0.641 (0.645, 0.666)","1.470 (1.440, 1.507)","0.825 (0.801, 0.860)","0.015 (0.015, 0.016)","0.960 (0.479, 1.723)"
